,Actual_outcome,prob_0,prob_1
265,0,0.64,0.36
266,0,0.54,0.46
267,0,0.72,0.28
268,0,0.61,0.39
269,0,0.53,0.47
270,0,0.66,0.34
271,0,0.58,0.42
272,0,0.55,0.45
273,0,0.75,0.25
274,0,0.53,0.47
275,1,0.32,0.68
276,0,0.84,0.16
277,0,0.62,0.38
278,0,0.63,0.37
279,0,0.54,0.46
280,0,0.51,0.49
281,1,0.44,0.56
282,0,0.56,0.44
283,0,0.67,0.33
284,0,0.53,0.47
285,0,0.64,0.36
286,0,0.57,0.43
287,1,0.46,0.54
288,0,0.7,0.3
289,0,0.54,0.46
290,0,0.68,0.32
291,0,0.62,0.38
292,1,0.42,0.58
293,0,0.53,0.47
294,1,0.44,0.56
295,0,0.62,0.38
296,0,0.64,0.36
297,1,0.42,0.58
298,0,0.64,0.36
299,0,0.57,0.43
300,1,0.46,0.54
301,1,0.42,0.58
302,0,0.51,0.49
303,0,0.61,0.39
304,0,0.78,0.22
305,0,0.65,0.35
306,1,0.48,0.52
307,0,0.63,0.37
308,0,0.56,0.44
309,0,0.66,0.34
310,0,0.6,0.4
311,1,0.49,0.51
312,0,0.75,0.25
313,1,0.46,0.54
314,0,0.52,0.48
315,0,0.61,0.39
316,0,0.69,0.31
317,0,0.56,0.44
318,1,0.49,0.51
319,0,0.56,0.44
320,0,0.68,0.32
321,0,0.68,0.32
322,0,0.68,0.32
323,0,0.68,0.32
324,0,0.6,0.4
325,0,0.75,0.25
326,1,0.4,0.6
327,0,0.64,0.36
328,0,0.76,0.24
329,0,0.52,0.48
330,0,0.56,0.44
331,0,0.62,0.38
332,1,0.45,0.55
333,0,0.51,0.49
334,1,0.49,0.51
335,0,0.57,0.43
336,0,0.74,0.26
337,1,0.47,0.53
338,1,0.47,0.53
339,0,0.57,0.43
340,0,0.62,0.38
341,1,0.43,0.57
342,0,0.57,0.43
343,0,0.77,0.23
344,0,0.63,0.37
345,0,0.72,0.28
346,0,0.58,0.42
347,0,0.57,0.43
348,0,0.51,0.49
349,0,0.62,0.38
350,0,0.78,0.22
351,0,0.5,0.5
352,0,0.69,0.31
353,1,0.42,0.58
354,0,0.72,0.28
355,0,0.64,0.36
356,0,0.73,0.27
357,0,0.62,0.38
358,1,0.39,0.61
359,0,0.6,0.4
360,0,0.74,0.26
361,0,0.68,0.32
362,0,0.69,0.31
363,1,0.32,0.68
364,0,0.69,0.31
365,1,0.46,0.54
366,0,0.55,0.45
367,0,0.62,0.38
368,0,0.64,0.36
369,0,0.53,0.47
370,0,0.52,0.48
371,1,0.43,0.57
372,0,0.59,0.41
373,0,0.63,0.37
374,0,0.65,0.35
375,0,0.74,0.26
376,1,0.45,0.55
377,1,0.44,0.56
378,0,0.66,0.34
379,1,0.43,0.57
380,0,0.61,0.39
381,0,0.85,0.15
382,0,0.71,0.29
383,0,0.72,0.28
384,0,0.72,0.28
385,0,0.67,0.33
386,0,0.77,0.23
387,0,0.53,0.47
388,1,0.42,0.58
389,0,0.77,0.23
390,0,0.64,0.36
391,1,0.49,0.51
392,0,0.87,0.13
393,1,0.48,0.52
394,1,0.44,0.56
395,0,0.65,0.35
396,0,0.71,0.29
397,0,0.68,0.32
398,0,0.66,0.34
399,0,0.67,0.33
400,0,0.7,0.3
401,0,0.8,0.2
402,0,0.71,0.29
403,0,0.59,0.41
404,0,0.59,0.41
405,0,0.71,0.29
406,0,0.62,0.38
407,0,0.55,0.45
408,0,0.53,0.47
409,0,0.64,0.36
410,0,0.67,0.33
411,1,0.33,0.67
412,0,0.65,0.35
413,0,0.72,0.28
414,0,0.77,0.23
415,0,0.64,0.36
416,0,0.64,0.36
417,0,0.57,0.43
418,0,0.59,0.41
419,0,0.76,0.24
420,0,0.64,0.36
421,0,0.57,0.43
422,0,0.59,0.41
423,0,0.63,0.37
424,1,0.43,0.57
425,0,0.62,0.38
426,0,0.51,0.49
427,0,0.72,0.28
428,0,0.7,0.3
429,0,0.51,0.49
430,0,0.57,0.43
431,1,0.39,0.61
432,1,0.37,0.63
433,0,0.59,0.41
434,0,0.78,0.22
435,1,0.46,0.54
436,0,0.63,0.37
437,0,0.76,0.24
438,0,0.72,0.28
439,0,0.52,0.48
440,1,0.49,0.51
441,0,0.78,0.22
442,0,0.72,0.28
443,1,0.47,0.53
444,1,0.47,0.53
445,0,0.7,0.3
446,0,0.59,0.41
447,0,0.62,0.38
448,0,0.53,0.47
449,0,0.73,0.27
450,0,0.55,0.45
451,0,0.75,0.25
452,0,0.56,0.44
453,0,0.58,0.42
454,0,0.72,0.28
455,1,0.4,0.6
456,0,0.7,0.3
457,0,0.65,0.35
458,0,0.61,0.39
459,0,0.84,0.16
460,0,0.63,0.37
461,0,0.69,0.31
462,0,0.52,0.48
463,0,0.65,0.35
464,0,0.55,0.45
465,1,0.42,0.58
466,0,0.74,0.26
467,0,0.63,0.37
468,0,0.64,0.36
469,0,0.64,0.36
470,0,0.59,0.41
471,0,0.63,0.37
472,1,0.45,0.55
473,0,0.76,0.24
474,0,0.54,0.46
475,0,0.58,0.42
476,0,0.75,0.25
477,0,0.61,0.39
478,0,0.68,0.32
479,0,0.72,0.28
480,0,0.58,0.42
481,0,0.6,0.4
482,0,0.68,0.32
483,0,0.8,0.2
484,0,0.6,0.4
485,0,0.83,0.17
486,0,0.58,0.42
487,1,0.49,0.51
488,1,0.37,0.63
489,1,0.43,0.57
490,0,0.6,0.4
491,0,0.78,0.22
492,0,0.87,0.13
493,1,0.45,0.55
494,0,0.63,0.37
495,0,0.64,0.36
496,0,0.72,0.28
497,0,0.79,0.21
498,1,0.41,0.59
499,0,0.58,0.42
500,0,0.67,0.33
501,0,0.72,0.28
502,0,0.63,0.37
503,0,0.7,0.3
504,0,0.57,0.43
505,0,0.61,0.39
506,0,0.72,0.28
507,0,0.55,0.45
508,0,0.66,0.34
509,0,0.71,0.29
510,0,0.52,0.48
511,1,0.49,0.51
512,0,0.55,0.45
513,1,0.42,0.58
514,0,0.77,0.23
515,1,0.41,0.59
516,0,0.68,0.32
517,0,0.77,0.23
